k,n,unresolved,clusters,excess_p,se_p,t,excess_gross_R,se_gross_R,ci_low_R,ci_high_R,mde_gross_R,p_arm,p_mirror,pct_long,label,cost_floor_R,beats_cost,multiple_of_cost,exec_tf,symbol,half,mechanism,cap
0.5,5780,155,1206,0.05112456747404844,0.005871398542352407,8.707391791797038,0.07668685121107266,0.00880709781352861,0.05942493949655659,0.09394876292558874,0.024659873877880104,0.6773356401384083,0.6262110726643598,0.4764705882352941,mech=M3,0.13825572448591705,False,0.5546739673617211,,,,M3,
1.0,5775,160,1206,0.032034632034632034,0.006725804972718803,4.762943939732247,0.06406926406926407,0.013451609945437606,0.03770410857620636,0.09043441956232177,0.0376645078472253,0.5265800865800866,0.49454545454545457,0.4767099567099567,mech=M3,0.13825572448591705,False,0.46341129314895213,,,,M3,
2.0,5752,183,1205,0.017037552155771907,0.006521889882403623,2.612364278296089,0.05111265646731572,0.01956566964721087,0.012763943958782418,0.08946136897584903,0.054783875012190425,0.36178720445062584,0.34474965229485394,0.4775730180806676,mech=M3,0.13825572448591705,False,0.36969649291101964,,,,M3,
4.0,5732,203,1203,0.008810188415910677,0.005684929933944442,1.5497444151959496,0.04405094207955339,0.028424649669722208,-0.011661371273102138,0.09976325543220892,0.07958901907522219,0.22418004187020238,0.2153698534542917,0.4788904396371249,mech=M3,0.13825572448591705,False,0.3186192994420313,,,,M3,
0.5,43569,95,1415,0.005244554614519498,0.0021531616464765895,2.435745882387247,0.007866831921779248,0.003229742469714884,0.0015365366811380741,0.014197127162420421,0.009043278915201675,0.6627189056439211,0.6574743510294017,0.5118088549197825,mech=M4,0.2901111770975654,False,0.027116610950613615,,,,M4,
1.0,43535,129,1413,0.00530607557137935,0.002420058266509129,2.192540421364823,0.0106121511427587,0.004840116533018258,0.0011255227380429136,0.020098779547474487,0.013552326292451122,0.5092454347077064,0.5039393591363271,0.5117951073848628,mech=M4,0.2901111770975654,False,0.03657960113405005,,,,M4,
2.0,43492,172,1413,0.0008392348018026304,0.0022495987632819353,0.3730597720360907,0.0025177044054078912,0.006748796289845806,-0.010709936322689887,0.01574534513350567,0.018896629611568252,0.34604065115423527,0.3452014163524326,0.5117952726938287,mech=M4,0.2901111770975654,False,0.008678412292130263,,,,M4,
4.0,43430,234,1412,-0.0018075063320285517,0.0018378483968382714,-0.983490441941828,-0.009037531660142758,0.009189241984191358,-0.02704844594915782,0.008973382628872302,0.0257298775557358,0.21105226801749943,0.21285977434952796,0.5119502647939213,mech=M4,0.2901111770975654,False,-0.031151959571359102,,,,M4,
0.5,37685,1231,1405,0.027743133872893726,0.002627345589941611,10.559377486960244,0.041614700809340585,0.003941018384912416,0.033890304774912255,0.04933909684376892,0.011034851477754765,0.6671885365530051,0.6394454026801114,0.47077086373888816,mech=M5,0.2525027360736256,False,0.1648089104159506,,,,M5,
1.0,37665,1251,1405,0.012279304393999735,0.003186817400836027,3.8531559388305063,0.02455860878799947,0.006373634801672054,0.012066284576722245,0.0370509329992767,0.01784617744468175,0.5124651533253683,0.5001858489313686,0.4708615425461304,mech=M5,0.2525027360736256,False,0.09726076307085475,,,,M5,
