trades,effective_n,deff,gross_expectancy,net_expectancy,fee_R,slippage_R,funding_R,cost_per_R,win_rate,profit_factor,median_stop_pct,median_hold_min,pct_target,median_concurrency,max_concurrency,candidate_id,mechanism,exec_tf,pair,cb_gross,cb_net,cb_trades,cb_seed_sd,excess_gross_cb,excess_net_cb
6062,3962.4,1.53,0.06450016496205872,-0.13507409108858184,0.14846259726798441,0.05032630415863879,0.0007853546240173848,0.19957425605064058,0.35466842626195977,0.825,0.9739170083298012,248.0,35.483338832068625,2.0,11.0,M1|15m|9/21,M1,15,9/21,0.043592938071047777,-0.2248372104063953,9400.0,0.08789934152787207,0.020907226891010947,0.08976311931781344
4926,3446.4,1.429,0.05602923264311815,-0.13924381065655114,0.14536228539222915,0.04927535098041665,0.0006354069270235325,0.19527304329966927,0.3518067397482745,0.82,0.9952839741487328,254.0,35.20097442143727,1.0,9.0,M2|15m|9/21|s0.00,M2,15,9/21,0.036030520230659,-0.30274251517125617,9182.0,0.13001306444693914,0.019998712412459145,0.16349870451470502
865,685.1,1.263,0.047398843930635814,-0.12290176610812213,0.1273167163919899,0.04315820894643725,-0.0001743152996692027,0.17030061003875793,0.3491329479768786,0.839,1.100678306998139,272.0,34.91329479768786,0.0,2.0,M2|15m|9/21|s0.25,M2,15,9/21,0.07195414624960314,-0.21791169620015224,3535.0,0.1037197539760775,-0.024555302318967326,0.09500993009203011
18,18.0,1.0,0.16666666666666666,0.10137201479105172,0.056580170327894405,0.01917971875521844,-0.01046523720749792,0.06529465187561494,0.3888888888888889,1.155,2.589693415818256,1260.5,38.88888888888889,0.0,0.0,M2|15m|9/21|s0.50,M2,15,9/21,-0.03333333333333333,-0.2183891520048516,90.0,0.23908710014060347,0.19999999999999998,0.31976116679590333
589,426.8,1.38,0.07470288624787773,-0.059441113372655625,0.09819035429665285,0.03328486586327215,0.0026687794606083714,0.13414399962053336,0.35823429541595925,0.918,1.4753810956937334,362.0,35.82342954159593,0.0,4.0,M3|15m|9/21|v1.2,M3,15,9/21,0.07331233171209331,-0.1322364542708998,2169.0,0.051743706659698595,0.001390554535784419,0.07279534089824419
104,74.7,1.392,0.21153846153846154,0.11011603189120096,0.07023653855114352,0.023808996119031704,0.007376894977085333,0.10142242964726056,0.40384615384615385,1.168,2.1529032006190545,1101.5,40.38461538461539,0.0,2.0,M3|15m|9/21|v1.5,M3,15,9/21,0.14515536447136992,-0.032731823578695154,427.0,0.16264794723243323,0.06638309706709161,0.14284785546989612
2100,1469.4,1.429,0.04428571428571428,-0.2540503862195272,0.2226440980833085,0.07547257562146051,0.0002194268004724441,0.29833610050524145,0.3476190476190476,0.701,0.6544905881036683,135.5,34.80952380952381,0.0,5.0,M4|15m|9/21|d0.25,M4,15,9/21,0.06576618693473794,-0.44696705458155217,7414.0,0.11192442012658657,-0.02148047264902366,0.19291666836202498
3523,2361.4,1.492,0.04655123474311666,-0.22652845765394602,0.20356931768406283,0.06900654836747892,0.000503826345520916,0.27307969239706265,0.3479988646040307,0.728,0.7491799778739663,168.0,34.88504115810389,0.0,6.0,M4|15m|9/21|d0.5,M4,15,9/21,0.042436141677246256,-0.4006955843198581,10015.0,0.07852654448597789,0.004115093065870407,0.17416712666591205
2924,1292.2,2.263,0.07113543091655267,-0.13085120954899643,0.14936277377976595,0.05063144873890372,0.001992417946879408,0.2019866404655491,0.356703146374829,0.83,0.9621548631137715,242.0,35.70451436388509,0.0,5.0,M5|15m|9/21,M5,15,9/21,0.01691733694289802,-0.3143095378864042,8372.0,0.060741423362848795,0.054218093973654645,0.18345832833740777
4605,2901.5,1.587,0.09446254071661238,-0.10390045726769963,0.14749844808676807,0.04999947392771799,0.0008650759698259431,0.198362997984312,0.3646036916395223,0.864,0.984214710224469,257.0,36.48208469055375,1.0,11.0,M1|15m|12/26,M1,15,12/26,0.06673625427952189,-0.21845482173012648,8271.0,0.09634392859399518,0.02772628643709049,0.11455436446242685
