k,stop_width,n,clusters,unresolved,excess_gross_R,se_gross_R,t,ci_low_R,ci_high_R,p_signal,p_control,signal_gross_R,control_gross_R,cost_R,signal_net_R,control_net_R,excess_net_R,break_even_cost_R,edge_to_cost,required_multiple,exec_tf,regime,band,stage,scenario,signal_real,economics_viable
0.5,0.0075,82615,1412,55,0.004439266477032016,0.002665683181181346,1.6653391177059063,-0.0007854725580834217,0.009664005512147453,0.6657749803304485,0.6628154693457604,-0.001337529504327306,-0.005776795981359384,0.21066666666666667,-0.21200419617099397,-0.21644346264802605,0.004439266477032016,0.004439266477032016,0.0210724674542659,47.455287434673934,5,ALL,primary,B,A_baseline,False,False
0.5,0.0075,82615,1412,55,0.004439266477032016,0.002665683181181346,1.6653391177059063,-0.0007854725580834217,0.009664005512147453,0.6657749803304485,0.6628154693457604,-0.001337529504327306,-0.005776795981359384,0.18400000000000002,-0.18533752950432733,-0.1897767959813594,0.004439266477032016,0.004439266477032016,0.024126448244739217,41.44828902522154,5,ALL,primary,B,B_low_slip,False,False
0.5,0.0075,82615,1412,55,0.004439266477032016,0.002665683181181346,1.6653391177059063,-0.0007854725580834217,0.009664005512147453,0.6657749803304485,0.6628154693457604,-0.001337529504327306,-0.005776795981359384,0.2906666666666667,-0.292004196170994,-0.29644346264802607,0.004439266477032016,0.004439266477032016,0.015272705769605559,65.47628266303113,5,ALL,primary,B,C_high_slip,False,False
0.5,0.0075,82615,1412,55,0.004439266477032016,0.002665683181181346,1.6653391177059063,-0.0007854725580834217,0.009664005512147453,0.6657749803304485,0.6628154693457604,-0.001337529504327306,-0.005776795981359384,0.1368,-0.1381375295043273,-0.1425767959813594,0.004439266477032016,0.004439266477032016,0.03245077834087731,30.8159018404908,5,ALL,primary,B,D_fee_sens,False,False
0.75,0.0075,82613,1412,57,0.005444058441165434,0.0036126994530342954,1.5069225967836837,-0.001636832486781785,0.012524949369112652,0.5746432159587475,0.5715323254209386,0.0056256279278079635,0.00018156948664249661,0.21066666666666667,-0.2050410387388587,-0.21048509718002417,0.005444058441165434,0.005444058441165434,0.025842049562494147,38.6966210857884,5,ALL,primary,B,A_baseline,False,False
0.75,0.0075,82613,1412,57,0.005444058441165434,0.0036126994530342954,1.5069225967836837,-0.001636832486781785,0.012524949369112652,0.5746432159587475,0.5715323254209386,0.0056256279278079635,0.00018156948664249661,0.18400000000000002,-0.17837437207219206,-0.18381843051335753,0.005444058441165434,0.005444058441165434,0.02958727413676866,33.79831461923291,5,ALL,primary,B,B_low_slip,False,False
0.75,0.0075,82613,1412,57,0.005444058441165434,0.0036126994530342954,1.5069225967836837,-0.001636832486781785,0.012524949369112652,0.5746432159587475,0.5715323254209386,0.0056256279278079635,0.00018156948664249661,0.2906666666666667,-0.2850410387388587,-0.2904850971800242,0.005444058441165434,0.005444058441165434,0.018729558857220528,53.39154048545489,5,ALL,primary,B,C_high_slip,False,False
0.75,0.0075,82613,1412,57,0.005444058441165434,0.0036126994530342954,1.5069225967836837,-0.001636832486781785,0.012524949369112652,0.5746432159587475,0.5715323254209386,0.0056256279278079635,0.00018156948664249661,0.1368,-0.13117437207219204,-0.1366184305133575,0.005444058441165434,0.005444058441165434,0.039795748838928606,25.128312173429684,5,ALL,primary,B,D_fee_sens,False,False
1.0,0.0075,82613,1412,57,0.004926585404234201,0.0045669917350186886,1.0787375344821026,-0.004024718396402428,0.01387788920487083,0.5048721145582414,0.5024088218561243,0.009744229116482872,0.004817643712248687,0.21066666666666667,-0.2009224375501838,-0.20584902295441798,0.004926585404234201,0.004926585404234201,0.02338569020997247,42.761192465192465,5,ALL,primary,B,A_baseline,False,False
1.0,0.0075,82613,1412,57,0.004926585404234201,0.0045669917350186886,1.0787375344821026,-0.004024718396402428,0.01387788920487083,0.5048721145582414,0.5024088218561243,0.009744229116482872,0.004817643712248687,0.18400000000000002,-0.17425577088351715,-0.17918235628775134,0.004926585404234201,0.004926585404234201,0.02677492067518587,37.348383292383296,5,ALL,primary,B,B_low_slip,False,False
