symbol,stop_mult,target_r,hold_h,trades,gross_r,cost_r,net_r,hit,timeout
BTCUSD,4.0,3.0,48,396,0.0246233402753752,0.10511230137899602,-0.08048896110362082,13.383838383838384,29.040404040404038
BTCUSD,4.0,3.0,168,270,0.08054354763508073,0.10303872512021728,-0.0224951774851365,22.59259259259259,8.148148148148149
BTCUSD,4.0,4.0,48,373,-0.008071068983766418,0.1052312292920619,-0.11330229827582833,5.898123324396782,35.388739946380696
BTCUSD,4.0,4.0,168,233,0.0676686453389345,0.10319756804326924,-0.03552892270433467,15.879828326180256,12.017167381974248
ETHUSD,2.0,1.0,48,839,0.058241089068795736,0.11670386110902982,-0.058462772040234055,51.84743742550656,0.11918951132300357
ETHUSD,2.0,1.0,168,839,0.057742602843310856,0.11670386110902982,-0.05896125826571893,51.84743742550656,0.0
ETHUSD,2.0,1.5,48,733,0.03875982295338911,0.11587026697548528,-0.07711044402209616,40.65484311050477,0.5457025920873124
ETHUSD,2.0,1.5,168,732,0.042123035899030443,0.11589719160087698,-0.07377415570184653,40.98360655737705,0.0
ETHUSD,2.0,2.0,48,678,0.09964580543814802,0.11608546572585596,-0.016439660287707925,35.693215339233035,1.1799410029498525
ETHUSD,2.0,2.0,168,668,0.11065087461727538,0.11584813078591469,-0.005197256168639288,36.377245508982035,0.14970059880239522
ETHUSD,2.0,2.5,48,604,0.10613006407567409,0.11647380542374595,-0.010343741348071894,30.29801324503311,2.152317880794702
ETHUSD,2.0,2.5,168,592,0.12197374923613027,0.11622941981128657,0.005744329424843675,31.58783783783784,0.16891891891891891
ETHUSD,2.0,3.0,48,540,0.11192419988956696,0.11732021961085067,-0.005396019721283692,25.37037037037037,5.0
ETHUSD,2.0,3.0,168,513,0.1150002430320175,0.11692981088287165,-0.0019295678508541594,27.485380116959064,0.1949317738791423
ETHUSD,2.0,4.0,48,493,0.1877398693257621,0.1177615959989989,0.06997827332676322,20.486815415821503,7.505070993914807
ETHUSD,2.0,4.0,168,455,0.25378016700432715,0.11704933485717743,0.13673083214714973,24.835164835164836,0.21978021978021978
ETHUSD,3.0,1.0,48,963,0.03847692036844586,0.0984438109293123,-0.05996689056086647,50.155763239875384,2.1806853582554515
ETHUSD,3.0,1.0,168,945,0.036365436026484774,0.09814810298400571,-0.06178266695752094,51.00529100529101,0.0
