symbol,family,target_r,stop_mult,gate,trades,net_r,cost_r,win_rate,gross_r,rej_cost,med_r_bps,model
BANKUSD,wpr_only,2.0,4.0,0.097,41,0.06015461768667442,0.031197813166461988,0.36585365853658536,0.09135243085313643,0,444.14075845575644,maker/taker
BANKUSD,atr_arm,1.0,2.0,0.15,140,-0.016317372899138254,0.020961664898215555,0.5,0.004644291999077287,0,258.54648036931593,maker/maker
BANKUSD,atr_arm,1.0,4.0,0.15,51,0.05881908045900886,0.013416288779872637,0.5294117647058824,0.07223536923888152,0,405.7136340309051,maker/maker
BANKUSD,atr_arm,2.0,2.0,0.15,104,0.05400548769303275,0.021393809674516925,0.3557692307692308,0.07539929736754966,0,253.13361111130723,maker/maker
BANKUSD,atr_arm,2.0,4.0,0.15,33,0.36661343028005844,0.011820421910025185,0.45454545454545453,0.3784338521900836,0,424.9942568343682,maker/maker
BANKUSD,adx_only,1.0,2.0,0.15,58,-0.059449609795287045,0.021753424772197594,0.4827586206896552,-0.03769618502308944,0,267.7133116239494,maker/maker
BANKUSD,adx_only,1.0,4.0,0.15,23,0.041544169340742856,0.014582255716434296,0.5217391304347826,0.05612642505717714,0,389.1366031617345,maker/maker
BANKUSD,adx_only,2.0,2.0,0.15,50,0.0644294712533216,0.021463936114180147,0.36,0.08589340736750176,0,252.8116376719035,maker/maker
BANKUSD,adx_only,2.0,4.0,0.15,20,0.2732570096543637,0.015578777107063475,0.45,0.28883578676142707,0,316.684571958206,maker/maker
BANKUSD,wpr_only,1.0,2.0,0.15,186,-0.187593560213782,0.024534852483496284,0.41935483870967744,-0.16305870773028572,0,237.17372881280588,maker/maker
BANKUSD,wpr_only,1.0,4.0,0.15,64,-0.06524553267996483,0.014636464498651703,0.46875,-0.05060906818131316,0,398.84989272060295,maker/maker
BANKUSD,wpr_only,2.0,2.0,0.15,139,-0.19925701869803597,0.024909934214329868,0.2733812949640288,-0.17434708448370603,0,231.4160088452329,maker/maker
BANKUSD,wpr_only,2.0,4.0,0.15,41,0.07195759300327054,0.014352210345584851,0.36585365853658536,0.08630980334885535,0,444.14075845575644,maker/maker
BANKUSD,atr_arm,1.0,2.0,0.045,139,-0.03900163603247419,0.020618868037556925,0.4892086330935252,-0.01838276799491727,5,259.50853028642865,maker/maker
BANKUSD,atr_arm,1.0,4.0,0.045,51,0.05881908045900886,0.013416288779872637,0.5294117647058824,0.07223536923888152,0,405.7136340309051,maker/maker
BANKUSD,atr_arm,2.0,2.0,0.045,103,0.0029919568607683807,0.021053075691781883,0.33980582524271846,0.024045032552550295,2,254.34279954941698,maker/maker
BANKUSD,atr_arm,2.0,4.0,0.045,33,0.36661343028005844,0.011820421910025185,0.45454545454545453,0.3784338521900836,0,424.9942568343682,maker/maker
